GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
autocomplete,com.fusillade.domain.discounts.impl,MaxPricePizzaDiscount,3,69,3,7,1,16,3,6,0,4
autocomplete,com.fusillade.domain.discounts.impl,AccumulativeCardDiscount,0,76,0,2,0,20,0,8,0,7
autocomplete,com.fusillade.repository.impl,InMemPizzaRepository,2,76,0,0,1,12,1,5,1,5
autocomplete,com.fusillade.repository.impl,InMemOrderRepository,0,16,0,0,0,4,0,2,0,2
autocomplete,com.fusillade.view,PizzaApp,225,0,0,0,28,0,2,0,2,0
autocomplete,com.fusillade.service.impl,SimpleOrderService,25,137,2,6,7,36,7,12,5,10
autocomplete,com.fusillade.service.impl,SimpleDiscountService,3,108,2,10,1,23,2,10,0,6
autocomplete,com.fusillade.service.impl,SimpleAccumulativeCardService,0,21,0,0,0,6,0,3,0,3
autocomplete,com.fusillade.domain.entity.enums,PizzaType,9,39,0,0,0,2,2,2,2,2
autocomplete,com.fusillade.domain.entity.states,DoneOrderState,11,16,2,2,2,5,3,3,2,2
autocomplete,com.fusillade.domain.entity.states,InProgressOrderState,11,16,2,2,2,5,3,3,2,2
autocomplete,com.fusillade.domain.entity.states,CancelledOrderState,11,22,2,4,2,7,3,4,2,2
autocomplete,com.fusillade.domain.entity.states,NewOrderState,13,11,3,1,5,2,4,2,2,2
autocomplete,com.fusillade.domain.entity,Order,104,165,28,16,25,48,22,18,2,16
autocomplete,com.fusillade.domain.entity,Customer,105,49,21,3,30,12,20,3,8,3
autocomplete,com.fusillade.domain.entity,Address,147,95,36,4,36,26,27,8,7,8
autocomplete,com.fusillade.domain.entity,Pizza,143,61,19,9,37,18,25,3,11,3
